timestamp_wib,tick,intersectionId,approach,vehicle_count_1min,volume_veh_per_hour,avg_speed_kmh,queue_length_veh,wait_time_min,green_seconds,density_percent,weather_condition,weather_temp_c,accident_count,roadwork_flag,event_flag,target_volume_15m,target_volume_2h,target_volume_4h
2026-02-23T00:00:00+07:00,0,SUR-4092,N,10,579.03,60.0,0,0.0,30,0.0,Hot,36.7,0,0,0,489.99,617.84,510.83
2026-02-23T00:00:00+07:00,0,SUR-4092,E,4,244.44,59.07,0,0.0,20,0.0,Hot,36.7,0,0,0,285.31,262.79,330.23
2026-02-23T00:00:00+07:00,0,SUR-4092,S,10,608.9,59.11,0,0.0,31,0.19,Hot,36.7,0,0,0,573.35,455.2,452.42
2026-02-23T00:00:00+07:00,0,SUR-4092,W,5,310.82,60.0,0,0.0,20,0.0,Hot,36.7,0,0,0,324.85,255.31,333.83
2026-02-23T00:01:00+07:00,1,SUR-4092,N,9,557.47,58.81,0,0.0,29,0.1,Hot,36.8,0,0,0,515.72,574.84,649.12
2026-02-23T00:01:00+07:00,1,SUR-4092,E,4,250.71,56.5,0,0.0,20,1.69,Hot,36.8,0,0,0,248.24,259.79,319.84
2026-02-23T00:01:00+07:00,1,SUR-4092,S,10,617.55,57.55,0,0.0,32,0.7,Hot,36.8,0,0,0,532.47,499.88,466.7
2026-02-23T00:01:00+07:00,1,SUR-4092,W,5,305.37,60.0,0,0.0,20,0.0,Hot,36.8,0,0,0,233.16,255.42,279.76
2026-02-23T00:02:00+07:00,2,SUR-4092,N,10,583.32,57.03,0,0.0,30,0.0,Hot,37.0,0,0,0,579.62,586.03,585.65
2026-02-23T00:02:00+07:00,2,SUR-4092,E,4,247.16,60.0,0,0.0,20,0.0,Hot,37.0,0,0,0,307.39,245.92,253.01
2026-02-23T00:02:00+07:00,2,SUR-4092,S,10,617.48,60.0,0,0.0,32,1.83,Hot,37.0,0,0,0,692.44,429.46,540.21
2026-02-23T00:02:00+07:00,2,SUR-4092,W,5,277.63,60.0,0,0.0,20,0.0,Hot,37.0,0,0,0,376.96,272.5,265.72
2026-02-23T00:03:00+07:00,3,SUR-4092,N,9,529.89,60.0,0,0.0,28,0.62,Hot,37.1,0,0,0,504.11,540.69,561.21
2026-02-23T00:03:00+07:00,3,SUR-4092,E,4,267.5,59.71,0,0.0,20,0.65,Hot,37.1,0,0,0,265.38,278.34,230.4
2026-02-23T00:03:00+07:00,3,SUR-4092,S,10,594.28,60.0,0,0.0,32,3.21,Hot,37.1,0,0,0,517.57,430.24,534.93
2026-02-23T00:03:00+07:00,3,SUR-4092,W,5,291.55,60.0,0,0.0,20,0.0,Hot,37.1,0,0,0,274.58,269.0,261.93
2026-02-23T00:04:00+07:00,4,SUR-4092,N,9,524.26,60.0,0,0.0,28,0.0,Hot,37.3,0,0,0,446.34,628.86,462.66
2026-02-23T00:04:00+07:00,4,SUR-4092,E,4,252.03,59.77,0,0.0,20,0.0,Hot,37.3,0,0,0,263.0,299.54,270.93
2026-02-23T00:04:00+07:00,4,SUR-4092,S,10,599.89,60.0,0,0.0,32,0.0,Hot,37.3,0,0,0,554.99,510.63,603.19
2026-02-23T00:04:00+07:00,4,SUR-4092,W,5,317.14,57.09,0,0.0,20,0.98,Hot,37.3,0,0,0,338.55,269.67,257.85
2026-02-23T00:05:00+07:00,5,SUR-4092,N,10,608.42,57.79,0,0.0,32,0.18,Hot,37.0,0,0,0,493.91,513.76,599.59
2026-02-23T00:05:00+07:00,5,SUR-4092,E,5,297.5,60.0,0,0.0,20,0.33,Hot,37.0,0,0,0,254.99,236.08,271.4
2026-02-23T00:05:00+07:00,5,SUR-4092,S,9,513.99,59.31,0,0.0,27,1.31,Hot,37.0,0,0,0,701.28,491.7,568.89
2026-02-23T00:05:00+07:00,5,SUR-4092,W,5,287.08,58.27,0,0.0,20,0.34,Hot,37.0,0,0,0,251.77,278.4,285.67
2026-02-23T00:06:00+07:00,6,SUR-4092,N,10,604.11,60.0,0,0.0,31,0.0,Hot,36.8,0,0,0,548.1,564.4,557.63
2026-02-23T00:06:00+07:00,6,SUR-4092,E,5,281.56,57.86,0,0.0,20,0.0,Hot,36.8,0,0,0,277.93,270.48,322.1
2026-02-23T00:06:00+07:00,6,SUR-4092,S,10,577.98,57.65,0,0.0,29,0.0,Hot,36.8,0,0,0,514.71,440.77,571.36
